cano_smiles,MW,TPSA,HBD,HBA,Water Solubility
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)O,2180.317,901.5700000000002,28,29,0.0464
CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1,1209.4210000000005,431.5399999999999,15,14,0.0338
CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(N)=O,1269.4330000000002,495.8899999999998,17,16,0.0283
CC(C)CC(NC(=O)CNC(=O)C(NC=O)C(C)C)C(=O)NC(C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,1811.252999999999,519.8899999999998,20,16,0.0039
NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)CCSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,1069.2379999999991,437.9099999999999,13,15,0.11
CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,1431.0640000000003,498.1699999999999,16,16,0.00694
CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)OC1C,1620.6930000000004,702.02,22,24,0.0173
NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,1040.2399999999996,405.3199999999999,12,15,0.0453
CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1,1019.2609999999996,332.22,13,14,0.0122
CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)N(C)C(Cc1ccc(O)cc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,1416.089,424.9799999999999,13,16,0.00371
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,247.143,116.95,3,5,5.7
Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,445.4360000000002,211.56,8,9,0.269
NC(Cc1cnc[nH]1)C(=O)O,155.15699999999998,92.0,3,3,71.3
C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,398.4450000000001,185.46,4,11,1.62
CC(=O)C(=O)O,88.06199999999998,54.370000000000005,1,2,134.0
NC(Cc1ccccc1)C(=O)O,165.19199999999995,63.32000000000001,2,2,4.14
O=C(O)CCCCC1SCC2NC(=O)NC21,244.31600000000003,78.43,3,3,1.22
C[N+](C)(C)CCO,104.173,20.23,1,1,3.61
NCCCCC(N)C(=O)O,146.19,89.34,3,3,105.0
NC(N)=NCCCC(N)C(=O)O,174.20399999999998,127.72,4,3,2.28
NCCCNCCCCNCCCN,202.34599999999995,76.1,4,4,2.19
NC(CC(=O)O)C(=O)O,133.10299999999998,100.62000000000002,3,3,142.0
NCCCC(N)C(=O)O,132.163,89.34,3,3,172.0
NC(=O)CCC(N)C(=O)O,146.14600000000002,106.41,3,3,97.8
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,347.224,186.07,5,10,3.31
NC(CO)C(=O)O,105.093,83.55,3,3,480.0
CSCCC(N)C(=O)O,149.215,63.32000000000001,2,3,23.9
NC(Cc1ccc(O)cc1)C(=O)O,181.191,83.55,3,3,7.67
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,416.6460000000002,60.69,3,3,0.00667
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,568.886,40.46,2,2,0.000732
NC(CSSCC(N)C(=O)O)C(=O)O,240.306,126.64,4,6,16.8
O=C(O)CCC(=O)O,118.088,74.6,2,2,211.0
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,376.36900000000014,161.56,5,9,0.657
CC(=O)NC(C=O)C(O)C(O)C(O)CO,221.209,127.09000000000002,5,6,148.0
NC(CCC(=O)O)C(=O)O,147.13,100.62000000000002,3,3,80.6
